GeneSymbol,SMILES,ChemicalName,Interaction,InteractionActions,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,Prediccion
CCND1,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin results in decreased expression of CCND1 protein,decreases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
AKT1,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin inhibits the reaction [IL18 protein results in decreased phosphorylation of AKT1 protein],decreases^phosphorylation|decreases^reaction,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
AKT1,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin results in decreased expression of AKT1 protein,decreases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
AKT1,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin results in increased phosphorylation of AKT1 protein,increases^phosphorylation,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
PTEN,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin inhibits the reaction [IL18 protein results in increased expression of PTEN protein],decreases^reaction|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
CDKN1A,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin inhibits the reaction [IL1B protein results in increased expression of CDKN1A mRNA],decreases^reaction|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
FOS,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin results in increased expression of FOS mRNA,increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
IL6,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin inhibits the reaction [IL1B protein results in increased expression of IL6 protein],decreases^reaction|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
IL6,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin inhibits the reaction [IL1B protein results in increased secretion of IL6 protein],decreases^reaction|increases^secretion,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
IL6,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin inhibits the reaction [Lipopolysaccharides results in increased expression of IL6 protein],decreases^reaction|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
IL6,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin inhibits the reaction [TNF protein results in increased expression of IL6 protein],decreases^reaction|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
IL6,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,HMOX1 protein promotes the reaction [cobaltiprotoporphyrin inhibits the reaction [TNF protein results in increased expression of IL6 protein]],decreases^reaction|increases^expression|increases^reaction,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
IL6,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,NFE2L2 protein promotes the reaction [cobaltiprotoporphyrin inhibits the reaction [TNF protein results in increased expression of IL6 protein]],decreases^reaction|increases^expression|increases^reaction,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
IL6,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,zinc protoporphyrin inhibits the reaction [cobaltiprotoporphyrin inhibits the reaction [Lipopolysaccharides results in increased expression of IL6 protein]],decreases^reaction|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
IL6,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,zinc protoporphyrin inhibits the reaction [cobaltiprotoporphyrin inhibits the reaction [TNF protein results in increased expression of IL6 protein]],decreases^reaction|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
MAPK3,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin inhibits the reaction [AGT protein results in increased phosphorylation of MAPK3 protein],decreases^reaction|increases^phosphorylation,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
MAPK3,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin results in increased activity of MAPK3 protein,increases^activity,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
MAPK3,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,[cobaltiprotoporphyrin results in increased expression of HMOX1 protein] which results in decreased activity of MAPK3 protein,decreases^activity|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
RELA,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin inhibits the reaction [Lipopolysaccharides results in increased expression of RELA protein],decreases^reaction|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
RELA,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,zinc protoporphyrin inhibits the reaction [cobaltiprotoporphyrin inhibits the reaction [Lipopolysaccharides results in increased expression of RELA protein]],decreases^reaction|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
MAPK1,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin inhibits the reaction [AGT protein results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
MAPK1,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin results in increased activity of MAPK1 protein,increases^activity,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
MAPK1,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,[cobaltiprotoporphyrin results in increased expression of HMOX1 protein] which results in decreased activity of MAPK1 protein,decreases^activity|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
TGFB3,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin inhibits the reaction [IL1B protein results in decreased secretion of TGFB3 protein],decreases^reaction|decreases^secretion,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
TP53,[N+](=O)([O-])[O-].[Ag+],Silver Nitrate,Silver Nitrate analog results in decreased expression of TP53 mRNA,decreases^expression,169.874,62.004,61.987819,-0.8585,-1.108,4,0,43.46,1.0,62.89,-9.919,none,none,none,none,0.75,0.0,0.0,2,4,4,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CDKN2A,[N+](=O)([O-])[O-].[Ag+],Silver Nitrate,Silver Nitrate results in increased expression of CDKN2A mRNA,increases^expression,169.874,62.004,61.987819,-0.8585,-1.108,4,0,43.46,1.0,62.89,-9.919,none,none,none,none,0.75,0.0,0.0,2,4,4,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CDK1,[N+](=O)([O-])[O-].[Ag+],Silver Nitrate,Silver Nitrate analog affects the expression of CDK1 mRNA,affects^expression,169.874,62.004,61.987819,-0.8585,-1.108,4,0,43.46,1.0,62.89,-9.919,none,none,none,none,0.75,0.0,0.0,2,4,4,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CCNB1,[N+](=O)([O-])[O-].[Ag+],Silver Nitrate,Silver Nitrate analog results in decreased expression of CCNB1 mRNA,decreases^expression,169.874,62.004,61.987819,-0.8585,-1.108,4,0,43.46,1.0,62.89,-9.919,none,none,none,none,0.75,0.0,0.0,2,4,4,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
