Name,SMILE,Total Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,DataBase,Senotherapeutic
A-1155463,CN(C)CC#Cc1ccc(OCCCc2sc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)c(F)c1,669.8,669.187973,5.434,-8.138,9,2,503.94,0.25876,164.37,-1.8356,0.57447,0.39553,0.9393,1,47,12,0,12,0,11,6,26,12,1,6,3,3,1,1,5,0,0,3,1,1,2,1,2,1,1,2,2,1,Senotherapeutic,1
MEDIFOXAMINE,CN(C)CC(Oc1ccccc1)Oc1ccccc1,257.332,257.141579,2.5271,-2.328,3,0,214.1,0.11,21.7,1.923,0.57895,0.41458,0.56169,1,19,3,0,3,0,6,2,12,7,10,2,2,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,1,0,NoSenotherapeutic,0
ABT-737,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],813.441,812.258136,6.6427,-8.674,11,2,602.63,0.20427,164.49,1.5354,0.55357,0.50022,0.90116,1,56,14,0,14,1,15,6,30,16,10,6,5,1,1,1,5,0,0,5,1,1,0,1,4,2,2,0,2,0,Senotherapeutic,1
MitoTam,CN(C)CCOC1=CC=C(C=C1)C(=C(CCCCCCCCCC[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6,745.02,744.433426,13.001,-11.288,2,0,618.42,0.021911,12.47,-12.646,0.47273,0.43428,0.79161,1,55,3,0,3,0,21,6,36,17,21,6,6,0,0,0,6,0,0,6,0,0,0,0,1,1,0,0,1,0,Senotherapeutic,1
Niravoline,CN(C1C(CC2=CC=CC=C12)N3CCCC3)C(=O)CC4=CC(=CC=C4)[N+](=O)[O-],379.459,379.189592,2.7047,-3.314,6,0,287.86,0.17564,69.37,0.45139,0.46429,0.53819,0.87275,1,28,6,0,6,2,5,4,12,11,2,4,3,1,1,2,2,0,1,2,1,1,0,1,1,1,0,0,1,0,NoSenotherapeutic,0
AT-406,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,561.724,561.331505,2.3629,-3.81,9,3,438.6,0.2135,110.85,7.2548,0.41463,0.44483,0.87019,1,41,9,0,9,4,9,4,12,17,9,3,2,1,1,1,2,0,0,2,1,1,0,4,1,1,0,0,1,0,Senotherapeutic,1
CHLORMEZANONE,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,273.739,273.022641,1.1128,-2.05,4,0,184.09,0.24537,62.83,0.73005,0.52941,0.35958,0.78235,1,17,6,0,6,1,1,2,6,5,3,2,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,NoSenotherapeutic,0
Scopolamine,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,303.357,303.147059,0.779,-2.295,5,1,223.35,0.25673,62.3,2.875,0.54545,0.3741,0.80291,1,22,5,0,5,5,5,4,6,14,5,6,2,4,5,5,1,1,1,1,4,4,0,0,1,1,0,0,1,0,NoSenotherapeutic,0
NOMIFENSINE MALEATE,CN1Cc2c(N)cccc2C(c2ccccc2)C1.O=C(O)/C=C\C(=O)O,354.405,238.146998,1.6448,-2.704,2,1,190.62,0.09873,29.26,4.3591,0.5,0.30217,0.77994,2,18,2,0,2,1,1,3,12,5,2,3,2,1,1,1,2,0,0,2,1,1,0,0,2,1,1,0,1,0,NoSenotherapeutic,0
CARBARIL,CNC(=O)Oc1cccc2ccccc12,201.224,201.078979,2.5697,-3.701,3,1,159.33,0.21653,38.33,-3.09,0.6,0.048625,0.64441,1,15,3,0,3,0,2,2,10,2,0,2,2,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,NoSenotherapeutic,0
Alvespimycin (17-DMAG),CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,616.753,616.347216,2.0968,-3.216,12,4,487.26,0.28116,169.52,9.0528,0.43182,0.41777,0.91408,1,44,12,0,12,6,8,2,0,23,1,1,1,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,1,0,Senotherapeutic,1
Scopoletin,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,192.17,192.04226,1.0817,-2.092,4,1,142.62,0.32352,55.76,-3.0612,0.64286,0.13351,0.73114,1,14,4,0,4,0,1,2,6,4,0,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Geldanamycin,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,560.642,560.273383,2.8712,-3.929,11,3,435.72,0.30292,163.48,7.0343,0.4,0.34884,0.90501,1,40,11,0,11,6,5,2,0,20,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,Senotherapeutic,1
Curcumin,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,368.384,368.12599,3.5831,-3.673,6,3,292.05,0.2477,96.22,1.178,0.62963,0.36268,0.71389,1,27,6,0,6,0,7,2,12,7,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,Senotherapeutic,1
Piperlongumine,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,317.34,317.126324,1.7755,-2.393,6,0,252.86,0.23582,65.07,0.4941,0.56522,0.39076,0.73618,1,23,6,0,6,0,5,2,6,8,4,2,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,Senotherapeutic,1
Tamatinib (R406),COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,470.46,470.171397,2.9558,-5.88,11,3,345.75,0.34803,128.75,-1.1452,0.52941,0.39746,0.87957,1,34,12,0,12,0,7,4,18,10,5,4,1,3,0,1,3,0,0,1,0,1,2,1,2,0,2,3,3,0,Senotherapeutic,1
BUFLOMEDIL,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,307.389,307.178359,2.3141,-2.703,5,0,250.91,0.18568,48,2.7412,0.59091,0.49148,0.71956,1,22,5,0,5,0,8,2,6,14,6,2,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,NoSenotherapeutic,0
TOLRESTAT,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,357.351,357.064648,3.1655,-3.366,4,1,252.71,0.26786,81.86,-8.0003,0.5,0.46287,0.8293,1,24,8,0,8,0,5,2,10,7,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,NoSenotherapeutic,0
o-Vanillin (curcumin metabolite),COc1cccc(C=O)c1O,152.149,152.047345,1.1772,-1.662,3,1,121.41,0.29767,46.53,-3.906,0.63636,0.21752,0.72752,1,11,3,0,3,0,2,1,6,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Senotherapeutic,1
ALATROFLOXACIN MESYLATE,CS(=O)(=O)O.C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,654.621,558.183853,-1.6649,-6.317,11,4,378.97,0.32066,157.96,2.5181,0.5,0.4174,0.96969,2,40,14,0,14,5,7,5,12,12,0,6,2,4,3,4,2,1,1,1,2,3,1,2,2,1,1,1,2,1,NoSenotherapeutic,0
SB203580,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,377.442,377.09981,3.5687,-5.242,4,1,280.96,0.20875,77.85,-0.19517,0.51852,0.37213,0.83016,1,27,6,0,6,1,4,4,23,2,6,4,2,2,0,0,4,0,0,2,0,0,2,0,0,0,0,3,1,0,Senotherapeutic,1
BROMFENAC SODIUM,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],766.345,333.000055,2.3207,-4.604,4,2,215.78,0.25234,80.39,-2.66,0.6,0.57657,0.76523,7,20,5,0,5,0,4,2,12,2,2,2,2,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,1,NoSenotherapeutic,0
EXIFONE,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,278.215,278.042655,0.7154,-1.94,7,6,188.87,0.4852,138.45,-1.0702,0.55,0.52591,0.72323,1,20,7,0,7,0,2,2,12,6,3,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
FIPEXIDE,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,388.85,388.118985,3.1537,-3.378,6,0,286.11,0.17525,51.24,7.3967,0.66667,0.46497,0.74421,1,27,7,0,7,0,5,4,12,11,4,4,2,2,1,2,2,0,0,2,1,2,0,1,1,1,0,0,1,0,NoSenotherapeutic,0
TICRYNAFEN,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,331.175,329.952034,2.9282,-4.991,4,1,225.41,0.3085,91.84,2.3512,0.6,0.36212,0.80446,1,20,7,0,7,0,5,2,11,3,0,2,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,NoSenotherapeutic,0
BENDAZAC,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,282.298,282.100443,1.8077,-2.992,5,1,217.2,0.24853,64.35,2.72,0.57143,0.38315,0.78648,1,21,5,0,5,0,5,3,15,4,2,3,2,1,0,0,3,0,0,2,0,0,1,0,0,0,0,2,0,1,NoSenotherapeutic,0
EF-24 (curcumin analogue),O=C1/C(=C/c2ccccc2F)CNC/C1=C\c1ccccc1F,311.33,311.11217,3.7321,-4.193,2,1,238.37,0.10278,29.1,0.70649,0.56522,0.30971,0.78589,1,23,4,0,4,0,2,3,12,3,10,3,2,1,1,1,2,0,0,2,1,1,0,0,1,1,0,0,1,0,Senotherapeutic,1
Fisetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,286.238,286.04774,1.8359,-2.787,6,4,195.59,0.3857,107.22,-0.082832,0.52381,0.29798,0.83766,1,21,6,0,6,0,1,3,12,5,0,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,Senotherapeutic,1
PHENOLPHTHALEIN,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,318.327,318.08921,3.5382,-3.06,4,2,230.14,0.21396,66.76,-1.2682,0.45833,0.33443,0.81766,1,24,4,0,4,0,2,4,18,4,9,4,3,1,0,1,3,0,0,3,0,1,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
